counter,StopId,StopName,StreetNum,OnStreet,AtStreet,UTAStopID,latitude,longitude
3908,23721,SOUTH JORDAN PKY @ 4295 W ,4295,W SOUTH JORDAN PKY ,S VERMILLION DR ,198231,40.55999398,-111.9930359
3909,23722,10400 S @ 4125 W ,4125,W 10400 S ,W SOUTH JORDAN PKY ,198232,40.561079,-111.991052
3910,23723,10400 S @ 3963 W ,3963,W 10400 S ,W SOUTH JORDAN PKY ,198233,40.56213703,-111.985381
3911,23727,RIVER HEIGHTS DR @ 10702 S ,10702,S RIVER HEIGHTS DR ,LOGAN CANYON RD ,198235,40.557194,-111.973218
3912,23726,10400 S @ 3451 W ,3451,W 10400 S ,LOGAN CANYON RD ,198236,40.56181403,-111.9732069
3913,23725,10400 S @ 3751 W ,3751,W 10400 S ,LOGAN CANYON RD ,198237,40.56177299,-111.980511
3914,23739,RIVER HEIGHTS DR @ 10649 S ,10649,S RIVER HEIGHTS DR ,LOGAN CANYON RD ,198238,40.55796996,-111.972678
3915,23738,RIVER HEIGHTS DR @ 10737 S ,10737,S RIVER HEIGHTS DR ,LOGAN CANYON RD ,198239,40.55523801,-111.974245
3916,23737,RIVER HEIGHTS DR @ 11089 S ,11089,S RIVER HEIGHTS DR ,LOGAN CANYON RD ,198240,40.54940201,-111.979206
3917,23736,SUMMER HEIGHTS DR @ 11153 S ,11153,S SUMMER HEIGHTS DR ,LOGAN CANYON RD ,198241,40.54757204,-111.9785601
3918,23735,SUMMER HEIGHTS DR @ 11269 S ,11269,S SUMMER HEIGHTS DR ,LILAC HEIGHTS DR ,198242,40.54668702,-111.978837
3919,23734,11400 S @ 3696 W ,3696,W 11400 S ,LILAC HEIGHTS DR ,198243,40.54428304,-111.978475
3920,23733,3600 W @ 11432 S ,11432,S 3600 W ,LILAC HEIGHTS DR ,198244,40.54359702,-111.976857
3921,23732,SUMMER HEIGHTS DR @ 11324 S ,11324,S SUMMER HEIGHTS DR ,LILAC HEIGHTS DR ,198245,40.546279,-111.979062
3922,23731,SUMMER HEIGHTS DR @ 11150 S ,11150,S SUMMER HEIGHTS DR ,LILAC HEIGHTS DR ,198246,40.54758703,-111.9786411
3923,23730,RIVER HEIGHTS DR @ 11068 S ,11068,S RIVER HEIGHTS DR ,LILAC HEIGHTS DR ,198247,40.54976801,-111.978964
3924,23729,RIVER HEIGHTS DR @ 10778 S ,10778,S RIVER HEIGHTS DR ,LILAC HEIGHTS DR ,198248,40.55423299,-111.9751431
3925,23724,10400 S @ 3831 W ,3831,W 10400 S ,W SOUTH JORDAN PKY ,198249,40.56181899,-111.982889
3926,23745,OQUIRRH LAKE RD (4500 W) @ 11221 S ,0,S OQUIRRH LAKE RD ,ANGLE POND DR ,198250,40.54855904,-111.996759
3927,23746,OQUIRRH LAKE RD @ 10687 S ,10687,S OQUIRRH LAKE RD ,ANGLE POND DR ,198251,40.55698003,-111.999731
3928,23747,OQUIRRH LAKE RD @ 10780 S ,10780,S OQUIRRH LAKE RD ,MILLE LACS DR ,198252,40.55779704,-111.999875
3929,23748,OQUIRRH LAKE RD @ 11080 S ,11080,S OQUIRRH LAKE RD ,DORENA LN ,198253,40.55470998,-111.999745
3930,23749,OQUIRRH LAKE RD (4500 W) @ 11210 S ,0,S OQUIRRH LAKE RD ,ANGLE POND DR ,198254,40.54897697,-111.996768
3931,23750,LONE PEAK PKY @ 11888 S ,11888,S LONE PEAK PKY ,ELECTION RD ,198255,40.53518101,-111.897171
3932,23751,LONE PEAK PKY @ 12249 S ,12249,S LONE PEAK PKY ,BUSINESS PARK DR ,198256,40.52792998,-111.895549
3933,23768,RIVER FRONT PKY @ 10726 S ,10726,S RIVER FRONT PKY ,BUSINESS PARK DR ,198258,40.55651897,-111.912646
3934,23769,RIVER FRONT PKY @ 10834 S ,10834,S RIVER FRONT PKY ,BUSINESS PARK DR ,198259,40.55427399,-111.914902
3935,23770,RIVER FRONT PKY @ 11309 ,11309,RIVER FRONT PKY ,BUSINESS PARK DR ,198260,40.54648804,-111.917507
